metabolite,refmet_name,log2fc,p_value,fdr,platform,neg_log10_p
NEFA [metab-t-conv],NEFA,0.240173323675061,4.4610947379260505e-14,1.11527368448151e-13,metab-t-conv,13.350558553776624
Pro-Phe [metab-u-rppos],Pro-Phe,-0.343807143993043,7.09209118410313e-14,1.9047330608734098e-12,metab-u-rppos,13.149225689244519
Proline [metab-u-ionpneg],Proline,-0.225597861200217,9.322779448133221e-14,1.89563182112042e-12,metab-u-ionpneg,13.03045458989604
CAR 12:1 [metab-u-hilicpos],CAR 12:1,0.599273332466002,1.30702402476386e-13,1.3070240247638598e-12,metab-u-hilicpos,12.88371642946117
Cer(d42:3) [metab-u-lrppos],Cer(d42:3),0.173572030958184,1.47787387387105e-13,2.4384918918872298e-12,metab-u-lrppos,12.830362628335731
PC(38:7)_isomer2 [metab-u-lrppos],PC(38:7)_isomer2,0.213027272202691,1.93874724834482e-13,3.1169090377236e-12,metab-u-lrppos,12.71247880557009
TG(58:1) [metab-u-lrppos],TG(58:1),-0.837073480494556,2.3703208238267697e-13,3.71547789134847e-12,metab-u-lrppos,12.625192868087836
Leucine/Isoleucine [metab-u-rpneg],Leucine/Isoleucine,-0.266060216551786,2.63919040300145e-13,2.69197421106148e-12,metab-u-rpneg,12.578529276703048
"isoquinoline-1,5-diol [metab-u-hilicpos]","isoquinoline-1,5-diol",-1.30098589393952,3.62547206246712e-13,3.5247645051763696e-12,metab-u-hilicpos,12.440635437154546
FA 22:4 [metab-u-lrpneg],FA 22:4,0.431744865814995,3.83505267277836e-13,2.59824818580734e-11,metab-u-lrpneg,12.416228666828456
N-Acetylarginine [metab-u-hilicpos],N-Acetylarginine,-0.2586708473876,3.91964931260439e-13,3.70777637678794e-12,metab-u-hilicpos,12.406752787166717
Tyrosine [metab-u-hilicpos],Tyrosine,-0.145301970502008,6.24083521559352e-13,5.74813769857298e-12,metab-u-hilicpos,12.204757284476198
SM(d36:2) [metab-u-rppos],SM(d36:2),0.240434633603076,7.12949815310882e-13,1.6754320659805698e-11,metab-u-rppos,12.146941039153207
